Cost Center,Account,Category,Department,Amount,Month,Type
Unassigned,Unspecified,Development Costs,Product & Engineering,106950,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,109000,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,108500,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,109900,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,111760,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,111760,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,102000,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,108100,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,114070,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,104040,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,115555,1,Actuals YTD
Unassigned,Unspecified,Development Costs,Product & Engineering,113000,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,15600,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,11698,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,13453,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,15790,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,11508,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,15500,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,14333,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,16500,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,10900,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,17800,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,16800,1,Actuals YTD
Unassigned,Unspecified,Operatinal Costs,Operations,14200,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,9820,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,3556,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,6800,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,11400,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,2900,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,3500,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,3000,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,5800,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,3000,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,9800,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,2900,1,Actuals YTD
Unassigned,Unspecified,Marketing Costs,Marketing,7200,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,3200,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,2300,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,5300,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,2200,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,1200,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,4200,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,2900,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,4300,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,2700,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,3700,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,4500,1,Actuals YTD
Unassigned,Unspecified,Travelling Cost,Sales,4800,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,5500,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,6500,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,0,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,4000,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,6000,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,6500,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,7500,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,6000,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,7000,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,5500,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,6000,1,Actuals YTD
Unassigned,Unspecified,Training Cost,People,7500,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,3200,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,2800,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,7800,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,5700,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4600,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,5500,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,3100,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,2400,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,1398,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,5399,1,Actuals YTD
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4590,1,Actuals YTD
