Cost Center,Account,Category,Department,Amount,Month,Type
Unassigned,Unspecified,Development Costs,Product & Engineering,107000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,107000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,108000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,107000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,111100,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,111100,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,110000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,117000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,118000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,110000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,117000,1,Approved Budget
Unassigned,Unspecified,Development Costs,Product & Engineering,117000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,12000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,12000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,12000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,12000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,12000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Operatinal Costs,Operations,15000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,10000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,5000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,5000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,10000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,4000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,4000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,8000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,6000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,3000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,10000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,3000,1,Approved Budget
Unassigned,Unspecified,Marketing Costs,Marketing,7000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Travelling Cost,Sales,4000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,6000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,6000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,6000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,6000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,6000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Training Cost,People,8000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
Unassigned,Unspecified,Maintenance Cost,IT & Facilities,4000,1,Approved Budget
