Month,Development Costs,Operatinal Costs,Marketing Costs,Travelling Cost,Training Cost,Maintenance Cost,Expenses
2023-01-01,107000,12000,10000,4000,6000,4000,Budget
2023-02-01,107000,12000,5000,4000,6000,4000,Budget
2023-03-01,108000,12000,5000,4000,6000,4000,Budget
2023-04-01,107000,12000,10000,4000,6000,4000,Budget
2023-05-01,111100,12000,4000,4000,6000,4000,Budget
2023-06-01,111100,15000,4000,4000,8000,4000,Budget
2023-07-01,110000,15000,8000,4000,8000,4000,Budget
2023-08-01,117000,15000,6000,4000,8000,4000,Budget
2023-09-01,118000,15000,3000,4000,8000,4000,Budget
2023-10-01,110000,15000,10000,4000,8000,4000,Budget
2023-11-01,117000,15000,3000,4000,8000,4000,Budget
2023-12-01,117000,15000,7000,4000,8000,4000,Budget
2023-01-01,106950,15600,9820,3200,5500,3200,Actual
2023-02-01,109000,11698,3556,2300,6500,2800,Actual
2023-03-01,108500,13453,6800,5300,0,7800,Actual
2023-04-01,109900,15790,11400,2200,4000,5700,Actual
2023-05-01,111760,11508,2900,1200,6000,4600,Actual
2023-06-01,111760,15500,3500,4200,6500,5500,Actual
2023-07-01,102000,14333,3000,2900,7500,4000,Actual
2023-08-01,108100,16500,5800,4300,6000,3100,Actual
2023-09-01,114070,10900,3000,2700,7000,2400,Actual
2023-10-01,104040,17800,9800,3700,5500,1398,Actual
2023-11-01,115555,16800,2900,4500,6000,5399,Actual
2023-12-01,113000,14200,7200,4800,7500,4590,Actual
